experiment_id,problem_type,timestamp,seed,n_cities,num_vehicles,p_layers,max_iter,momentum_mass,lmbda,exact_cost,exact_route,exact_time_sec,ground_state_energy,solver_name,quantum_cost,quantum_route,quantum_time_sec,approx_ratio,success_probability,evaluations_count
VRP_N4_Vehicles2_Layers=1_MaxIter=25_20260724_152434,VRP,20260724_152434,42,4,2,1,25,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00027298927307128906,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",1.6348559856414795,0.04355234243128762,1.0,26
VRP_N4_Vehicles3_Layers=1_MaxIter=25_20260724_152437,VRP,20260724_152437,42,4,3,1,25,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003421306610107422,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",1.2769381999969482,0.05251759610178668,1.0,26
VRP_N4_Vehicles4_Layers=1_MaxIter=25_20260724_152439,VRP,20260724_152439,42,4,4,1,25,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00017762184143066406,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",1.2720801830291748,0.06162616643842161,1.0,26
VRP_N4_Vehicles5_Layers=1_MaxIter=25_20260724_152441,VRP,20260724_152441,42,4,5,1,25,1.0,100.0,inf,{},5.602836608886719e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",1.2821073532104492,inf,1.0,26
VRP_N4_Vehicles6_Layers=1_MaxIter=25_20260724_152443,VRP,20260724_152443,42,4,6,1,25,1.0,100.0,inf,{},3.6716461181640625e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",1.2933149337768555,inf,1.0,26
VRP_N4_Vehicles2_Layers=2_MaxIter=25_20260724_152447,VRP,20260724_152447,42,4,2,2,25,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002713203430175781,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",1.285801649093628,0.04355234243128762,1.0,26
VRP_N4_Vehicles3_Layers=2_MaxIter=25_20260724_152449,VRP,20260724_152449,42,4,3,2,25,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003235340118408203,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",1.2800428867340088,0.05251759610178668,1.0,26
VRP_N4_Vehicles4_Layers=2_MaxIter=25_20260724_152451,VRP,20260724_152451,42,4,4,2,25,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00019288063049316406,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",1.273442029953003,0.06162616643842161,1.0,26
VRP_N4_Vehicles5_Layers=2_MaxIter=25_20260724_152453,VRP,20260724_152453,42,4,5,2,25,1.0,100.0,inf,{},5.4836273193359375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",1.2717843055725098,inf,1.0,26
VRP_N4_Vehicles6_Layers=2_MaxIter=25_20260724_152455,VRP,20260724_152455,42,4,6,2,25,1.0,100.0,inf,{},3.790855407714844e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",1.4663639068603516,inf,1.0,26
VRP_N4_Vehicles2_Layers=3_MaxIter=25_20260724_152459,VRP,20260724_152459,42,4,2,3,25,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002834796905517578,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",1.284219741821289,0.04355234243128762,1.0,26
VRP_N4_Vehicles3_Layers=3_MaxIter=25_20260724_152501,VRP,20260724_152501,42,4,3,3,25,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003120899200439453,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",1.2828631401062012,0.05251759610178668,1.0,26
VRP_N4_Vehicles4_Layers=3_MaxIter=25_20260724_152503,VRP,20260724_152503,42,4,4,3,25,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.0001533031463623047,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",1.272094488143921,0.06162616643842161,1.0,26
VRP_N4_Vehicles5_Layers=3_MaxIter=25_20260724_152505,VRP,20260724_152505,42,4,5,3,25,1.0,100.0,inf,{},3.361701965332031e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",1.4128742218017578,inf,1.0,26
VRP_N4_Vehicles6_Layers=3_MaxIter=25_20260724_152507,VRP,20260724_152507,42,4,6,3,25,1.0,100.0,inf,{},3.266334533691406e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",1.2685890197753906,inf,1.0,26
VRP_N4_Vehicles2_Layers=4_MaxIter=25_20260724_152511,VRP,20260724_152511,42,4,2,4,25,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00025343894958496094,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",1.2721197605133057,0.04355234243128762,1.0,26
VRP_N4_Vehicles3_Layers=4_MaxIter=25_20260724_152513,VRP,20260724_152513,42,4,3,4,25,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003132820129394531,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",1.2676310539245605,0.05251759610178668,1.0,26
VRP_N4_Vehicles4_Layers=4_MaxIter=25_20260724_152515,VRP,20260724_152515,42,4,4,4,25,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00015211105346679688,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",1.2798006534576416,0.06162616643842161,1.0,26
VRP_N4_Vehicles5_Layers=4_MaxIter=25_20260724_152518,VRP,20260724_152518,42,4,5,4,25,1.0,100.0,inf,{},3.170967102050781e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",1.2762269973754883,inf,1.0,26
VRP_N4_Vehicles6_Layers=4_MaxIter=25_20260724_152520,VRP,20260724_152520,42,4,6,4,25,1.0,100.0,inf,{},3.266334533691406e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",1.2762553691864014,inf,1.0,26
VRP_N4_Vehicles2_Layers=5_MaxIter=25_20260724_152523,VRP,20260724_152523,42,4,2,5,25,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002579689025878906,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",1.2836167812347412,0.04355234243128762,1.0,26
VRP_N4_Vehicles3_Layers=5_MaxIter=25_20260724_152526,VRP,20260724_152526,42,4,3,5,25,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.00031304359436035156,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",1.428006649017334,0.05251759610178668,1.0,26
VRP_N4_Vehicles4_Layers=5_MaxIter=25_20260724_152528,VRP,20260724_152528,42,4,4,5,25,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00015664100646972656,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",1.2752079963684082,0.06162616643842161,1.0,26
VRP_N4_Vehicles5_Layers=5_MaxIter=25_20260724_152530,VRP,20260724_152530,42,4,5,5,25,1.0,100.0,inf,{},4.076957702636719e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",1.2737751007080078,inf,1.0,26
VRP_N4_Vehicles6_Layers=5_MaxIter=25_20260724_152532,VRP,20260724_152532,42,4,6,5,25,1.0,100.0,inf,{},3.218650817871094e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",1.272113561630249,inf,1.0,26
VRP_N4_Vehicles2_Layers=1_MaxIter=50_20260724_152537,VRP,20260724_152537,42,4,2,1,50,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002701282501220703,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",2.616943359375,0.04355234243128762,1.0,51
VRP_N4_Vehicles3_Layers=1_MaxIter=50_20260724_152540,VRP,20260724_152540,42,4,3,1,50,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003228187561035156,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",2.479100465774536,0.05251759610178668,1.0,51
VRP_N4_Vehicles4_Layers=1_MaxIter=50_20260724_152543,VRP,20260724_152543,42,4,4,1,50,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00017118453979492188,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",2.4842114448547363,0.06162616643842161,1.0,51
VRP_N4_Vehicles5_Layers=1_MaxIter=50_20260724_152547,VRP,20260724_152547,42,4,5,1,50,1.0,100.0,inf,{},5.5789947509765625e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",2.651681423187256,inf,1.0,51
VRP_N4_Vehicles6_Layers=1_MaxIter=50_20260724_152550,VRP,20260724_152550,42,4,6,1,50,1.0,100.0,inf,{},5.91278076171875e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",2.4641647338867188,inf,1.0,51
VRP_N4_Vehicles2_Layers=2_MaxIter=50_20260724_152555,VRP,20260724_152555,42,4,2,2,50,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002536773681640625,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",2.4666013717651367,0.04355234243128762,1.0,51
VRP_N4_Vehicles3_Layers=2_MaxIter=50_20260724_152558,VRP,20260724_152558,42,4,3,2,50,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.00031304359436035156,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",2.6497983932495117,0.05251759610178668,1.0,51
VRP_N4_Vehicles4_Layers=2_MaxIter=50_20260724_152602,VRP,20260724_152602,42,4,4,2,50,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.0001506805419921875,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",2.4850854873657227,0.06162616643842161,1.0,51
VRP_N4_Vehicles5_Layers=2_MaxIter=50_20260724_152605,VRP,20260724_152605,42,4,5,2,50,1.0,100.0,inf,{},3.1948089599609375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",2.481468677520752,inf,1.0,51
VRP_N4_Vehicles6_Layers=2_MaxIter=50_20260724_152608,VRP,20260724_152608,42,4,6,2,50,1.0,100.0,inf,{},3.1948089599609375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",2.483016014099121,inf,1.0,51
VRP_N4_Vehicles2_Layers=3_MaxIter=50_20260724_152614,VRP,20260724_152614,42,4,2,3,50,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00026607513427734375,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",2.4817728996276855,0.04355234243128762,1.0,51
VRP_N4_Vehicles3_Layers=3_MaxIter=50_20260724_152617,VRP,20260724_152617,42,4,3,3,50,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.000308990478515625,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",2.4769344329833984,0.05251759610178668,1.0,51
VRP_N4_Vehicles4_Layers=3_MaxIter=50_20260724_152620,VRP,20260724_152620,42,4,4,3,50,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00015473365783691406,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",2.4836385250091553,0.06162616643842161,1.0,51
VRP_N4_Vehicles5_Layers=3_MaxIter=50_20260724_152624,VRP,20260724_152624,42,4,5,3,50,1.0,100.0,inf,{},3.170967102050781e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",2.6376302242279053,inf,1.0,51
VRP_N4_Vehicles6_Layers=3_MaxIter=50_20260724_152627,VRP,20260724_152627,42,4,6,3,50,1.0,100.0,inf,{},3.600120544433594e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",2.485836982727051,inf,1.0,51
VRP_N4_Vehicles2_Layers=4_MaxIter=50_20260724_152632,VRP,20260724_152632,42,4,2,4,50,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00027298927307128906,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",2.493252992630005,0.04355234243128762,1.0,51
VRP_N4_Vehicles3_Layers=4_MaxIter=50_20260724_152636,VRP,20260724_152636,42,4,3,4,50,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003108978271484375,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",2.4712653160095215,0.05251759610178668,1.0,51
VRP_N4_Vehicles4_Layers=4_MaxIter=50_20260724_152639,VRP,20260724_152639,42,4,4,4,50,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00015354156494140625,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",2.4770760536193848,0.06162616643842161,1.0,51
VRP_N4_Vehicles5_Layers=4_MaxIter=50_20260724_152643,VRP,20260724_152643,42,4,5,4,50,1.0,100.0,inf,{},3.2901763916015625e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",2.4835762977600098,inf,1.0,51
VRP_N4_Vehicles6_Layers=4_MaxIter=50_20260724_152646,VRP,20260724_152646,42,4,6,4,50,1.0,100.0,inf,{},3.170967102050781e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",2.6262776851654053,inf,1.0,51
VRP_N4_Vehicles2_Layers=5_MaxIter=50_20260724_152652,VRP,20260724_152652,42,4,2,5,50,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00026226043701171875,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",2.498904228210449,0.04355234243128762,1.0,51
VRP_N4_Vehicles3_Layers=5_MaxIter=50_20260724_152655,VRP,20260724_152655,42,4,3,5,50,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.00032210350036621094,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",2.4899184703826904,0.05251759610178668,1.0,51
VRP_N4_Vehicles4_Layers=5_MaxIter=50_20260724_152658,VRP,20260724_152658,42,4,4,5,50,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.0001513957977294922,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",2.6694388389587402,0.06162616643842161,1.0,51
VRP_N4_Vehicles5_Layers=5_MaxIter=50_20260724_152702,VRP,20260724_152702,42,4,5,5,50,1.0,100.0,inf,{},4.792213439941406e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",2.5340356826782227,inf,1.0,51
VRP_N4_Vehicles6_Layers=5_MaxIter=50_20260724_152705,VRP,20260724_152705,42,4,6,5,50,1.0,100.0,inf,{},3.719329833984375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",2.507009506225586,inf,1.0,51
VRP_N4_Vehicles2_Layers=1_MaxIter=75_20260724_152711,VRP,20260724_152711,42,4,2,1,75,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00028061866760253906,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",3.9040212631225586,0.04355234243128762,1.0,76
VRP_N4_Vehicles3_Layers=1_MaxIter=75_20260724_152716,VRP,20260724_152716,42,4,3,1,75,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003132820129394531,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",3.7388689517974854,0.05251759610178668,1.0,76
VRP_N4_Vehicles4_Layers=1_MaxIter=75_20260724_152720,VRP,20260724_152720,42,4,4,1,75,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.0001709461212158203,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",3.732133388519287,0.06162616643842161,1.0,76
VRP_N4_Vehicles5_Layers=1_MaxIter=75_20260724_152725,VRP,20260724_152725,42,4,5,1,75,1.0,100.0,inf,{},3.1948089599609375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",3.735133647918701,inf,1.0,76
VRP_N4_Vehicles6_Layers=1_MaxIter=75_20260724_152730,VRP,20260724_152730,42,4,6,1,75,1.0,100.0,inf,{},3.170967102050781e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",3.7318310737609863,inf,1.0,76
VRP_N4_Vehicles2_Layers=2_MaxIter=75_20260724_152736,VRP,20260724_152736,42,4,2,2,75,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.00028586387634277344,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",3.864375352859497,0.04355234243128762,1.0,76
VRP_N4_Vehicles3_Layers=2_MaxIter=75_20260724_152741,VRP,20260724_152741,42,4,3,2,75,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003161430358886719,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",3.72452712059021,0.05251759610178668,1.0,76
VRP_N4_Vehicles4_Layers=2_MaxIter=75_20260724_152745,VRP,20260724_152745,42,4,4,2,75,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00016379356384277344,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",3.753023624420166,0.06162616643842161,1.0,76
VRP_N4_Vehicles5_Layers=2_MaxIter=75_20260724_152750,VRP,20260724_152750,42,4,5,2,75,1.0,100.0,inf,{},3.9577484130859375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",3.803560495376587,inf,1.0,76
VRP_N4_Vehicles6_Layers=2_MaxIter=75_20260724_152755,VRP,20260724_152755,42,4,6,2,75,1.0,100.0,inf,{},3.409385681152344e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",3.7728652954101562,inf,1.0,76
VRP_N4_Vehicles2_Layers=3_MaxIter=75_20260724_152801,VRP,20260724_152801,42,4,2,3,75,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002818107604980469,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",3.9464995861053467,0.04355234243128762,1.0,76
VRP_N4_Vehicles3_Layers=3_MaxIter=75_20260724_152806,VRP,20260724_152806,42,4,3,3,75,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003192424774169922,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",3.7926549911499023,0.05251759610178668,1.0,76
VRP_N4_Vehicles4_Layers=3_MaxIter=75_20260724_152810,VRP,20260724_152810,42,4,4,3,75,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.00015163421630859375,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",3.695244789123535,0.06162616643842161,1.0,76
VRP_N4_Vehicles5_Layers=3_MaxIter=75_20260724_152815,VRP,20260724_152815,42,4,5,3,75,1.0,100.0,inf,{},3.2901763916015625e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",3.831334352493286,inf,1.0,76
VRP_N4_Vehicles6_Layers=3_MaxIter=75_20260724_152820,VRP,20260724_152820,42,4,6,3,75,1.0,100.0,inf,{},3.266334533691406e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",3.6946029663085938,inf,1.0,76
VRP_N4_Vehicles2_Layers=4_MaxIter=75_20260724_152826,VRP,20260724_152826,42,4,2,4,75,1.0,100.0,27.349999999999998,"{'1': [0, 1, 4, 2, 0], '2': [0, 3, 0]}",0.0002815723419189453,27.349999999999998,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0]}",3.949528455734253,0.04355234243128762,1.0,76
VRP_N4_Vehicles3_Layers=4_MaxIter=75_20260724_152831,VRP,20260724_152831,42,4,3,4,75,1.0,100.0,32.980000000000004,"{'1': [0, 1, 0], '2': [0, 2, 4, 0], '3': [0, 3, 0]}",0.0003147125244140625,32.980000000000004,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0]}",3.8244469165802,0.05251759610178668,1.0,76
VRP_N4_Vehicles4_Layers=4_MaxIter=75_20260724_152836,VRP,20260724_152836,42,4,4,4,75,1.0,100.0,38.7,"{'1': [0, 1, 0], '2': [0, 2, 0], '3': [0, 3, 0], '4': [0, 4, 0]}",0.0001518726348876953,38.7,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0]}",3.7980635166168213,0.06162616643842161,1.0,76
VRP_N4_Vehicles5_Layers=4_MaxIter=75_20260724_152840,VRP,20260724_152840,42,4,5,4,75,1.0,100.0,inf,{},3.9577484130859375e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0]}",3.798990249633789,inf,1.0,76
VRP_N4_Vehicles6_Layers=4_MaxIter=75_20260724_152845,VRP,20260724_152845,42,4,6,4,75,1.0,100.0,inf,{},3.457069396972656e-05,inf,CV-VQE,627.98,"{'1': [0, 1, 2, 3, 4, 0], '2': [0, 0], '3': [0, 0], '4': [0, 0], '5': [0, 0], '6': [0, 0]}",3.8094122409820557,inf,1.0,76
